id,word,wordtype,wordmeaning
1,A1,adjective,"European standard size paper, twice the size of A2; 594 x841mm."
2,A2,adjective,"European standard size paper, twice the size of  A3;  420 X 594 mm."
4,A4,adjective,"European standard size paper, 210 x 297mm."
10,AA,abbreviation,Author's alterations.
11,A & I,abbreviation,Abstracting and indexing.
12,abrasion resistance,noun,The ability of a surface such as a printing plate to resist rubbing without showing scratches or other signs of wear.
13,abridge,verb,to make something shorter.
14,abridgement,noun, a shortened version of a book.
15,absorb,verb,1. to take up liquid.
16,absorbency,noun,ability to absorb moisture. 
17,absorbency test,noun,"a test carried out in a laboratory to test how absorbent a sample of paper is.
18,absorbent,adjective,able to soak up moisture. highly absorbent paper.
19,absorption,noun,taking up moisture. 
20,absorption filter,noun,a filter that blocks certain colours.
21,abstract,noun,a summary of the contents of a document.
22,abstracting and indexing,noun,the making of summaries and indexes for articles and books.
23,AC,abbreviation,author's correcton.
24,academic publishing,noun,a branch of publishing which focuses on producing books and journals for higher education.
25,accordion fold,noun,"a method of folding a printed sheet in parallel folds, with one fold in one direction and the next in the other, so that it will unfold sideways.  2. a method of folding continuous paper, one page in one direction, the next page in the opposite direction, allowing the paper to be fed into a printer continuously with no action on the part of the user. it is also called concertina fold, fanfold."
26,accordion insert,noun,an insert in a magazine which is folded in the accordion method.
27,account-book binding,noun,"a binding style used for books that are to be written in, and therefore must lie flat when open."
28,achromatic,adjective, without any colour.
29,achromatic colour,noun,a grey colour within the range between black and white displayed by a graphics adapter.
30,achromatic separation,noun,colour separations on a scanner by using the very minimum of primary colours and adding black.
31,ACID,noun,application used to record and mix sounds. 
32,acid process,noun,the process of making chemical paper pulp using acid.
33,a circle,noun,"a chemical compound containing hydrogen, which reacts with an alkali to form a salt and water and turns litmus paper red."
34,acknowledge,verb ,to inform the sender that a message or object has been received.
35,acknowledgement,noun, an act of acknowledging something. 
36,acknowledgements,plural noun, a piece of text printed at the beginning of a written document thanking people who have helpedin its production. 
37,acquire ,verb, 1. To obtain or buy something. 2. To gain a skill.
38,acquisition,noun,"1. An object or item which is obtained, purchased or received as a donation to a library. 2. The process of obtaining a skill. "
39,acquisitions editor,noun, a person who builds up a list by buying books or rights to books from packagers or other publishers.
40,Acrobat,," a trademark for a file format developed by Adobe Systems, which describes a graphics, text and indexing system that allows the same screen image or page layout file to be displayed on a different hardware."
41,ad,noun, Same as advertisement.
42,adapt,verb,to change a person or thing in order to make it suitable for a specific purpose. 
43,adaptation ,noun, a film or play based on a story or novel.
44,adapter,noun ,somebody who adapts a literary work to another format. 
45,added entry,noun, a secondary entry in an index or catalogue. 
47,additive color mixing ,noun,the mixing of different colours to give the final colour that is wanted.
48,address ,noun ,"1. details of where somebody lives or where their business premises are 2. a label, number or name which locates where information is stored. "
49,address ,verb,to deal with something.
